n345449	NONHSAT004374.2
n345455	NONHSAT005306.2
n345457	NONHSAT005482.2
n345458	NONHSAT005499.2
n345465	NONHSAT006788.2
n345468	NONHSAT007119.2
n345473	NONHSAT007706.2
n345474	NONHSAT007719.2
n345483	NONHSAT009549.2
n345486	NONHSAT009877.2
n345501	NONHSAT071390.2
n345502	NONHSAT073970.2
n345506	NONHSAT075940.2
n345516	NONHSAT069957.2
n345524	NONHSAT070518.2
n345527	NONHSAT070916.2
n345534	NONHSAT071766.2
n345544	NONHSAT074905.2
n345557	NONHSAT075924.2
n345558	NONHSAT075962.2
n345559	NONHSAT075998.2
n345568	NONHSAT076794.2
n345574	NONHSAT077414.2
n345580	NONHSAT089210.2
n345589	NONHSAT089915.2
n345594	NONHSAT091273.2
n345612	NONHSAT094090.2
n345613	NONHSAT095569.2
n345618	NONHSAT099020.2
n345622	NONHSAT094676.2
n345623	NONHSAT094799.2
n345630	NONHSAT095797.2
n345636	NONHSAT096686.2
n345637	NA
n345641	NONHSAT096929.2
n345647	NONHSAT097673.2
n345648	NONHSAT098084.2
n345653	NONHSAT098243.2
n345666	NONHSAT100401.2
n345668	NONHSAT101110.2
n345670	NONHSAT101354.2
n345674	NONHSAT072520.2
n345685	NA
n345686	NONHSAT001945.2
n345694	NA
n345696	NONHSAT056043.2
n345697	NONHSAT092342.2
n345701	NONHSAT033788.2
n345707	NONHSAT026823.2
n345721	NA
n345742	NA
n345746	NONHSAT034667.2
n345751	NONHSAT015967.2
n345754	NONHSAT028659.2
n345765	NONHSAT035599.2
n345777	NONHSAT119808.2
n345779	NA
n345781	NONHSAT052812.2
n345799	NONHSAT083762.2
n345800	NA
n345802	NONHSAT094425.2
n345807	NA
n345813	NONHSAT078882.2
n345823	NONHSAT071835.2
n345831	NONHSAT009754.2
n345832	NA
n345839	NONHSAT078002.2
n345847	NONHSAT068245.2
n345850	NONHSAT081475.2
n345852	NA
n345856	NONHSAT134620.2
n345861	NONHSAT032698.2
n345873	NONHSAT000539.2
n345879	NONHSAT017584.2
n345881	NONHSAT030457.2
n345885	NA
n345886	NONHSAT030458.2
n345887	NONHSAT100219.2
n345888	NONHSAT120458.2
n345903	NA
n345904	NA
n345909	NONHSAT032525.2
n345912	NA
n345915	NONHSAT138545.2
n345916	NA
n345925	NONHSAT035478.2
n345934	NA
n345935	NONHSAT081089.2
n345939	NA
n345941	NONHSAT119531.2
n345943	NONHSAT000009.2
n345954	NONHSAT079276.2
n345955	NA
n345957	NONHSAT115733.2
n345960	NONHSAT140723.2
n345966	NONHSAT041279.2
n345971	NA
n345975	NA
n345977	NONHSAT125161.2
n345981	NA
n345988	NONHSAT042196.2
n346007	NONHSAT073901.2
n346012	NA
n346026	NONHSAT094617.2
n346031	NA
n346032	NONHSAT122124.2
n346033	NONHSAT083698.2
n346040	NA
n346041	NONHSAT141017.2
n346051	NONHSAT009976.2
n346060	NA
n346066	NA
n346067	NONHSAT099434.2
n346071	NA
n346075	NA
n346078	NONHSAT070592.2
n346081	NA
n346082	NONHSAT068119.2
n346094	NA
n346101	NONHSAT138147.2
n346109	NONHSAT131159.2
n346110	NONHSAT123221.2
n346116	NA
n346126	NA
n346128	NA
n346137	NONHSAT108375.2
n346143	NONHSAT100053.2
n346167	NONHSAT113140.2
n346171	NA
n346177	NONHSAT037624.2
n346186	NA
n346188	NONHSAT118799.2
n346189	NONHSAT131958.2
n346196	NONHSAT035522.2
n346200	NA
n346205	NONHSAT041253.2
n346211	NA
n346227	NONHSAT120464.2
n346236	NONHSAT105477.2
n346238	NA
n346247	NONHSAT051192.2
n346260	NONHSAT141025.2
n346272	NA
n346282	NA
n346288	NONHSAT100968.2
n346296	NONHSAT102743.2
n346299	NONHSAT001933.2
n346311	NA
n346329	NA
n346332	NONHSAT033599.2
n346334	NA
n346337	NONHSAT132832.2
n346348	NONHSAT040790.2
n346349	NONHSAT072363.2
n346354	NONHSAT144648.2
n346356	NONHSAT055312.2
n346361	NONHSAT132849.2
n346370	NONHSAT063877.2
n346372	NA
n346373	NONHSAT148016.2
n346376	NA
n346383	NONHSAT094915.2
n346385	NA
n346392	NONHSAT129647.2
n346396	NA
n346397	NA
n346398	NONHSAT135352.2
n346404	NONHSAT134532.2
n346416	NA
n346422	NONHSAT015425.2
n346426	NONHSAT052795.2
n346428	NA
n346430	NONHSAT122460.2
n346448	NA
n346460	NONHSAT099931.2
n346461	NONHSAT141072.2
n346464	NA
n346465	NA
n346467	NA
n346472	NONHSAT041249.2
n346477	NONHSAT073165.2
n346481	NONHSAT081613.2
n346492	NA
n346494	NONHSAT078037.2
n346497	NA
n346510	NONHSAT121111.2
n346517	NONHSAT074150.2
n346520	NONHSAT073808.2
n346521	NA
n346523	NONHSAT034532.2
n346525	NONHSAT122547.2
n346528	NA
n346532	NA
n346533	NONHSAT095521.2
n346535	NONHSAT142136.2
n346537	NONHSAT033970.2
n346545	NONHSAT040814.2
n346551	NA
n346558	NA
n363297	NONHSAT004632.2
n363309	NONHSAT004512.2
n363314	NONHSAT010460.2
n363315	NONHSAT000201.2
n363337	NONHSAT000208.2
n363347	NONHSAT004411.2
n363351	NONHSAT005107.2
n363356	NONHSAT008664.2
n363381	NONHSAT000771.2
n363468	NA
n363484	NONHSAT007159.2
n363491	NONHSAT007660.2
n363537	NONHSAT009689.2
n363561	NONHSAT000032.2
n363566	NONHSAT000204.2
n363616	NONHSAT003055.2
n363631	NONHSAT003726.2
n363651	NONHSAT004527.2
n363658	NONHSAT004700.2
n363690	NONHSAT006319.2
n363765	NONHSAT010174.2
n363811	NONHSAT001301.2
n363847	NONHSAT003175.2
n363878	NONHSAT004021.2
n363902	NONHSAT004595.2
n363904	NONHSAT004624.2
n363933	NONHSAT005319.2
n363945	NA
n363948	NONHSAT006136.2
n364039	NONHSAT010557.2
n364085	NONHSAT001699.2
n364088	NA
n364139	NONHSAT004185.2
n364158	NONHSAT004366.2
n364168	NONHSAT004417.2
n364180	NA
n364181	NONHSAT004785.2
n364206	NONHSAT005705.2
n364244	NONHSAT008555.2
n364269	NONHSAT009409.2
